label, x1, y1, x2, y2, score 
589, 2132.62158203, 940.994018555, 2525.30126953, 1156.21325684, 0.716207146645 
589, 2025.93005371, 1495.13525391, 2395.31933594, 1712.92749023, 0.520147740841 
589, 1505.74267578, 1002.67791748, 1798.09399414, 1201.25, 0.404704034328 
589, 2283.23632812, 959.063110352, 2564.32763672, 1180.32336426, 0.161934524775 
589, 2174.59594727, 1533.21228027, 2407.03686523, 1721.41271973, 0.11721072346 
589, 2233.6887207, 1505.38183594, 2513.31762695, 1696.37719727, 0.112301662564 
358, 2301.76269531, 1347.60046387, 2526.02587891, 1551.4029541, 0.998566091061 
85, 1587.58227539, 1707.70507812, 1975.82666016, 1938.01171875, 0.961442291737 
14, 1925.72290039, 1163.77844238, 2261.1628418, 1360.28625488, 0.995589971542 
14, 1748.55249023, 1171.08728027, 2061.39941406, 1395.46618652, 0.256533324718 
14, 1947.99755859, 1229.53210449, 2280.46191406, 1441.53771973, 0.217038691044 
10, 1870.17797852, 1376.13647461, 2089.56347656, 1561.80615234, 0.999804794788 
10, 1999.97949219, 437.291687012, 2292.64892578, 648.54876709, 0.121893636882 
599, 1521.68579102, 1018.08166504, 1816.92797852, 1220.9083252, 0.172719225287 
490, 2044.59436035, 625.23626709, 2370.17749023, 829.850280762, 0.990512549877 
490, 2229.3684082, 420.908874512, 2598.4387207, 641.091125488, 0.990373253822 
490, 1625.48803711, 838.945739746, 1938.3371582, 1035.14196777, 0.98461574316 
490, 1944.24377441, 1703.88195801, 2338.05615234, 1925.28552246, 0.973116517067 
113, 2142.40234375, 1902.23095703, 2364.50537109, 2035.27661133, 0.112155385315 
641, 2374.31396484, 113.055870056, 2626.54443359, 288.728851318, 0.249672159553 
641, 1521.68579102, 1018.08166504, 1816.92797852, 1220.9083252, 0.104636192322 
698, 1317.90661621, 1963.33532715, 1655.88977051, 2150.95068359, 0.732430160046 
698, 1330.37304688, 2094.21777344, 1674.52978516, 2265.09326172, 0.174293726683 
808, 1677.30517578, 1170.92651367, 1970.49023438, 1403.63085938, 0.470040231943 
808, 2565.86303711, 610.489807129, 2804.47680664, 798.823303223, 0.119707286358 
596, 2286.45288086, 942.109558105, 2573.15063477, 1159.12988281, 0.462618023157 
596, 1522.10412598, 1003.05664062, 1793.05993652, 1200.95141602, 0.441669344902 
596, 1355.89624023, 2119.57348633, 1662.50097656, 2293.52758789, 0.322568804026 
596, 2145.53051758, 952.730773926, 2514.9074707, 1168.09619141, 0.165162846446 
596, 1135.65441895, 1738.89477539, 1385.5267334, 1960.8972168, 0.132330805063 
596, 2055.5, 424.344177246, 2430.29443359, 633.546569824, 0.11972489208 
596, 1242.11474609, 1732.06176758, 1562.63623047, 1953.18408203, 0.107694000006 
511, 1508.29052734, 1020.71734619, 1820.51147461, 1218.1607666, 0.323097109795 
579, 2141.05859375, 1529.21057129, 2385.23339844, 1723.54211426, 0.725059866905 
381, 1098.60192871, 1766.23693848, 1362.35925293, 1968.44641113, 0.990666806698 
381, 994.862243652, 1755.3737793, 1305.9119873, 1941.67285156, 0.135255858302 
750, 989.182373047, 1254.32458496, 1186.34228516, 1435.42687988, 0.170738279819 
825, 1427.33557129, 1218.41040039, 1703.79138184, 1413.14086914, 0.182041138411 
298, 2006.82714844, 1510.05895996, 2357.06591797, 1711.32653809, 0.239154413342 
242, 1442.01696777, 1571.76245117, 1734.66247559, 1771.93115234, 0.349509835243 
207, 1334.81054688, 1728.52124023, 1637.77001953, 1955.91259766, 0.186687201262 
493, 1316.28308105, 1194.51257324, 1669.22277832, 1401.11413574, 0.120908014476 
142, 1698.13842773, 1528.82519531, 2002.43823242, 1733.97949219, 0.987705647945 
142, 1900.90283203, 632.057922363, 2213.70751953, 832.51751709, 0.154431656003 
736, 1987.09655762, 624.409851074, 2373.90014648, 831.960144043, 0.431576907635 
736, 1907.49523926, 630.737731934, 2220.21191406, 834.424255371, 0.137236282229 
252, 1625.28369141, 1922.45458984, 1896.83618164, 2132.90185547, 0.998109698296 
252, 2129.7746582, 809.86517334, 2387.42504883, 997.413024902, 0.997391223907 
252, 1795.40490723, 987.357727051, 2126.4206543, 1186.8013916, 0.996900081635 
252, 1990.21264648, 1537.58459473, 2267.14282227, 1730.36682129, 0.994454562664 
252, 2560.52270508, 602.527587891, 2785.05834961, 803.141479492, 0.693211376667 
812, 1301.85803223, 1196.90344238, 1676.76647949, 1397.88317871, 0.255688935518 
812, 2293.01074219, 262.444915771, 2639.94091797, 459.56552124, 0.137963697314 
118, 1541.49536133, 1364.38293457, 1876.08666992, 1578.77966309, 0.995239019394 
118, 2245.4050293, 1139.71081543, 2561.66479492, 1347.0201416, 0.970785081387 
118, 1382.30200195, 2127.88012695, 1665.76586914, 2297.53442383, 0.472919791937 
118, 2571.35449219, 442.219970703, 2806.70019531, 626.00793457, 0.246482640505 
118, 1299.17456055, 1961.04187012, 1686.4921875, 2200.41748047, 0.230254784226 
580, 2331.83666992, 796.597473145, 2627.61743164, 985.399719238, 0.977648317814 
580, 2058.21166992, 978.386535645, 2348.3503418, 1173.2890625, 0.95797175169 
580, 2415.7578125, 777.479370117, 2709.12207031, 967.085083008, 0.297387897968 
828, 1688.86816406, 1198.03259277, 1958.33032227, 1408.54943848, 0.985498428345 
132, 1886.48547363, 646.245300293, 2143.29516602, 834.064025879, 0.938938617706 
132, 2007.20410156, 451.50012207, 2291.78759766, 647.624389648, 0.307051002979 
99, 1982.67773438, 427.718475342, 2307.33349609, 642.908569336, 0.141601085663 
578, 2548.7890625, 274.801513672, 2754.92822266, 460.656738281, 0.276499420404 
578, 144.837188721, 1062.27441406, 358.376220703, 1222.26611328, 0.100050680339 
484, 1343.70861816, 1221.75610352, 1713.14099121, 1406.69995117, 0.233219608665 
484, 1471.93640137, 1571.05285645, 1743.01281738, 1772.03210449, 0.114732608199 
737, 1056.95117188, 1977.25244141, 1366.46142578, 2147.15380859, 0.128228679299 
635, 2383.93652344, 116.210617065, 2638.7109375, 283.76953125, 0.658730387688 
184, 1990.73657227, 617.691894531, 2372.63989258, 830.005371094, 0.364087760448 
181, 2562.90039062, 792.790771484, 2766.57861328, 983.844116211, 0.638464510441 
89, 2357.01733398, 623.688415527, 2607.46850586, 822.969421387, 0.997549235821 
89, 1875.9387207, 810.258300781, 2162.85961914, 1011.83776855, 0.978446662426 
89, 2425.32885742, 601.468017578, 2709.45678711, 807.969970703, 0.605301141739 
89, 1943.81347656, 800.996398926, 2294.33447266, 1007.92852783, 0.529775798321 
89, 2549.91601562, 597.602355957, 2814.46972656, 785.179382324, 0.508361577988 
15, 1133.16430664, 1538.05761719, 1465.66552734, 1748.39746094, 0.398920089006 
807, 2282.64868164, 278.889648438, 2627.27954102, 464.689331055, 0.943317115307 
807, 1339.93212891, 1217.96728516, 1632.65576172, 1412.69360352, 0.535443902016 
729, 1302.11254883, 1928.18762207, 1638.0402832, 2133.56201172, 0.246252566576 
496, 1337.69592285, 1763.12304688, 1629.05627441, 1981.87768555, 0.920058965683 
496, 1242.11474609, 1732.06176758, 1562.63623047, 1953.18408203, 0.123237036169 
502, 1329.58325195, 1731.94677734, 1646.8828125, 1968.95068359, 0.146424070001 
466, 2258.24975586, 262.100952148, 2625.31665039, 464.710632324, 0.285969913006 
466, 1323.7722168, 1221.67138672, 1711.27392578, 1405.89599609, 0.267042934895 
80, 1431.50134277, 1542.04016113, 1747.64318848, 1755.12072754, 0.123772770166 
238, 1443.39013672, 1570.45507812, 1752.04467773, 1771.25683594, 0.767830252647 
483, 1758.91430664, 2110.03100586, 2095.18823242, 2257.94897461, 0.207756876945 
5, 1383.51647949, 2127.11132812, 1667.30627441, 2296.27197266, 0.120456874371 
339, 1170.23486328, 1357.88671875, 1541.23608398, 1579.25219727, 0.163690924644 
71, 1144.39978027, 1561.60510254, 1430.55285645, 1766.1072998, 0.877330303192 
71, 1228.00695801, 1556.74060059, 1576.2532959, 1762.23620605, 0.294077515602 
311, 1166.09777832, 1369.82226562, 1534.66491699, 1570.38110352, 0.230932608247 
20, 2028.40563965, 276.45715332, 2308.56518555, 475.754882812, 0.249837368727 
130, 1360.54589844, 1956.79003906, 1667.21606445, 2147.25537109, 0.113494977355 
544, 1164.68847656, 1356.72595215, 1548.69091797, 1578.5916748, 0.825039803982 
540, 1170.23486328, 1357.88671875, 1541.23608398, 1579.25219727, 0.116589449346 
693, 1337.54138184, 1196.7487793, 1681.6998291, 1396.54907227, 0.250562757254 
